Date,Steps,Calories,Distance,Active Minutes,Floors Climbed,Hours Slept,Times Awake
4/28/2014,7770,2254,3.5,11,9,,
4/29/2014,2147,2614,1.0,6,6,,
4/30/2014,5922,2200,2.6,12,11,,
5/1/2014,6705,2208,3.0,11,7,,
5/2/2014,12695,2668,6.0,51,9,,
5/3/2014,16285,2860,7.6,55,9,,
5/4/2014,16791,2811,7.5,53,7,,
5/5/2014,4540,2164,2.0,14,9,,
5/6/2014,8089,2298,3.6,23,10,,
5/7/2014,8718,2512,3.9,28,14,,
5/8/2014,14306,2666,6.6,53,13,,
5/9/2014,9285,2487,4.1,29,9,,
5/10/2014,17774,2999,8.0,35,13,,
5/11/2014,10096,2515,4.7,32,7,,
5/12/2014,5730,2237,2.6,11,8,,
5/13/2014,7971,2374,3.6,22,14,,
5/14/2014,13549,2731,6.5,58,19,,
5/15/2014,8163,2419,3.6,2,4,,
5/16/2014,15402,2987,6.9,28,56,,
5/17/2014,12918,3194,5.8,10,20,,
5/18/2014,7627,2494,3.4,21,9,,
5/19/2014,5205,2311,2.3,18,4,,
5/20/2014,4307,2188,1.9,8,4,,
5/21/2014,7522,2333,3.4,12,7,,
5/22/2014,7376,2322,3.3,14,5,,
5/23/2014,13178,2682,5.9,29,54,,
5/24/2014,23524,3541,10.5,85,174,,
5/25/2014,30054,3526,13.5,125,129,,
5/26/2014,11757,2458,5.2,38,15,,
5/27/2014,7974,2467,3.6,13,0,,
5/28/2014,5535,2222,2.5,17,6,,
5/29/2014,5155,2189,2.3,12,7,,
5/30/2014,5416,2296,2.4,18,7,,
5/31/2014,4188,2209,1.9,12,3,,
6/1/2014,5962,2463,2.7,2,0,,
6/2/2014,7042,2200,3.1,6,5,,
6/3/2014,4135,2175,1.8,8,7,,
6/4/2014,6541,2307,2.9,15,8,,
6/5/2014,5816,2238,2.6,13,7,,
6/6/2014,6790,2327,3.0,22,6,,
6/7/2014,2776,2103,1.2,5,3,,
6/8/2014,4952,2182,2.2,0,0,,
6/9/2014,3898,2125,1.7,11,4,,
6/10/2014,4735,2383,2.1,13,5,,
6/11/2014,6391,2390,2.8,0,1,,
6/12/2014,8730,2703,3.9,13,32,,
6/13/2014,8709,2399,3.9,0,8,,
6/14/2014,6653,2474,3.0,1,10,,
6/15/2014,3509,2304,1.6,5,5,,
6/16/2014,4526,2198,2.0,16,8,,
6/17/2014,5292,2117,2.4,10,5,,
6/18/2014,9342,2493,4.4,34,16,,
6/19/2014,4942,2211,2.2,15,4,,
6/20/2014,8691,2463,4.2,33,18,,
6/21/2014,4589,2176,2.0,12,3,,
6/22/2014,14490,2951,6.9,46,12,,
6/23/2014,11743,2721,5.6,50,15,,
6/24/2014,3507,2108,1.6,8,4,,
6/25/2014,11165,2685,5.4,37,9,,
6/26/2014,6862,2344,3.1,13,6,,
6/27/2014,11045,2508,4.9,21,13,,
6/28/2014,5372,2198,2.4,2,2,,
6/29/2014,14904,2816,6.6,23,11,,
6/30/2014,6624,2305,3.0,0,0,,
7/1/2014,4449,2174,2.0,6,5,,
7/2/2014,11245,2636,5.0,2,0,,
7/3/2014,13187,2796,6.4,51,13,,
7/4/2014,15121,2755,6.7,43,14,,
7/5/2014,4890,2336,2.2,8,2,,
7/6/2014,2814,2604,1.3,0,0,,
7/7/2014,9393,2551,4.2,9,6,,
7/8/2014,8333,2392,3.7,28,11,,
7/9/2014,7992,2295,3.6,15,5,,
7/10/2014,7537,2397,3.4,24,4,,
7/11/2014,6765,2351,3.0,13,4,,
7/12/2014,8629,2419,3.9,20,5,,
7/13/2014,2316,2604,1.0,3,3,,
7/14/2014,7006,2274,3.1,14,5,,
7/15/2014,5273,2204,2.3,12,6,,
7/16/2014,5403,2168,2.4,14,7,,
7/17/2014,5095,2202,2.3,24,4,,
7/18/2014,6322,2311,2.8,8,3,,
7/19/2014,5650,2113,2.5,5,1,,
7/20/2014,8905,2730,4.0,22,19,,
7/21/2014,12412,2601,5.5,49,9,,
7/22/2014,5939,2283,2.6,7,0,,
7/23/2014,8109,2328,3.9,40,9,,
7/24/2014,5073,2207,2.3,15,2,,
7/25/2014,12475,2856,5.9,51,11,,
7/26/2014,3907,2201,1.7,1,0,,
7/27/2014,2400,2087,1.1,2,0,,
7/28/2014,7756,2337,3.5,14,5,,
7/29/2014,11285,2586,5.4,49,9,,
7/30/2014,9124,2431,4.1,24,12,,
7/31/2014,3817,2166,1.7,0,0,,
8/1/2014,7224,2344,3.2,2,16,,
8/2/2014,11894,2735,5.3,19,4,,
8/3/2014,5465,2224,2.4,7,12,,
8/4/2014,9152,2403,4.1,23,2,,
8/5/2014,3740,2091,1.7,14,6,,
8/6/2014,4019,2156,1.8,12,3,,
8/7/2014,5631,2230,2.5,16,4,,
8/8/2014,9573,2334,4.3,17,7,,
8/9/2014,13242,2622,5.9,20,0,,
8/10/2014,3751,2148,1.7,4,0,,
8/11/2014,5164,2352,2.3,1,0,,
8/12/2014,6706,2299,3.0,13,2,,
8/13/2014,4723,2153,2.1,10,5,,
8/14/2014,3613,2206,1.6,4,1,,
8/15/2014,5108,2171,2.3,18,5,,
8/16/2014,5600,2223,2.5,3,1,,
8/17/2014,7476,2366,3.5,20,7,,
8/18/2014,5181,2208,2.3,12,3,,
8/19/2014,5392,2260,2.4,15,2,,
8/20/2014,4401,2158,2.0,0,0,,
8/21/2014,8089,2409,3.6,15,4,,
8/22/2014,8001,2566,3.6,11,0,,
8/23/2014,3516,2251,1.6,4,3,,
8/24/2014,10095,2553,4.7,33,7,,
8/25/2014,5033,2266,2.2,12,6,,
8/26/2014,5455,2323,2.4,13,2,,
8/27/2014,11710,2566,5.2,63,8,,
8/28/2014,9849,2495,4.4,28,5,,
8/29/2014,4649,2390,2.1,11,9,,
8/30/2014,18225,3523,8.1,133,145,,
8/31/2014,7338,2594,3.3,26,18,,
9/1/2014,5814,2314,2.6,5,2,,
9/2/2014,3498,2604,1.6,8,6,,
9/3/2014,4141,2192,1.8,13,3,,
9/4/2014,5443,2241,2.4,8,5,,
9/5/2014,7834,2404,3.5,6,0,,
9/6/2014,3523,2162,1.5,0,3,,
9/7/2014,5379,2150,2.4,7,1,,
9/8/2014,4276,2125,1.9,10,5,,
9/9/2014,13884,2660,6.2,51,9,,
9/10/2014,4010,2124,1.8,8,2,,
9/11/2014,6765,2228,3.0,6,5,,
9/12/2014,6018,2235,2.7,14,3,,
9/13/2014,4246,2239,1.9,0,0,,
9/14/2014,1576,2604,0.7,10,0,,
9/15/2014,9371,2467,4.2,8,0,,
9/16/2014,9554,2513,4.3,20,10,,
9/17/2014,6556,2295,2.9,20,10,,
9/18/2014,11491,2554,5.1,29,6,,
9/19/2014,6476,2330,2.9,6,0,,
9/20/2014,9899,2573,4.4,13,16,,
9/21/2014,8739,2368,3.9,10,2,,
9/22/2014,11310,2509,5.0,9,6,,
9/23/2014,9371,2467,4.2,17,6,,
9/24/2014,7563,2325,3.4,18,7,,
9/25/2014,5227,2292,2.3,12,2,,
9/26/2014,9910,2528,4.4,10,2,,
